"Story","Title","Result","Date","Stability","Duration (s)"
"Read only complex types test","Podam should create an instance of an Abstract class with a factory method which returns a concrete type even if the concrete type has got read-only attributes. These will be empty.","SUCCESS","2017-10-20T17:32:41.858+05:30","0.0","0.12"
"Read only complex types test","Podam should fill in POJOs which contain internal loops (e.g. objects that reference parents)","SUCCESS","2017-10-20T17:32:42.088+05:30","0.0","0.13"
"Read only complex types test","Podam should fill in complex (e.g. with more than two generic types), read-only POJOs","SUCCESS","2017-10-20T17:32:41.980+05:30","0.0","0.11"
"Read only complex types test","Podam should fill in read-only POJOs","SUCCESS","2017-10-20T17:32:42.223+05:30","0.0","0.12"
